episode,score,total_reward,steps,eps,timestamp
1,1,0.90,12,0.0100,20260308-235120
2,1,1.44,18,0.0100,20260308-235120
3,11,109.20,172,0.0100,20260308-235122
4,11,114.80,202,0.0100,20260308-235123
5,27,279.22,366,0.0100,20260308-235125
6,31,328.70,442,0.0100,20260308-235127
7,36,388.36,581,0.0100,20260308-235129
8,40,427.70,628,0.0100,20260308-235129
9,37,397.60,636,0.0100,20260308-235129
10,30,316.53,438,0.0100,20260308-235130
11,40,426.71,652,0.0100,20260308-235130
12,35,372.17,664,0.0100,20260308-235130
13,8,77.84,105,0.0100,20260308-235130
14,38,406.50,717,0.0100,20260308-235131
15,36,385.03,733,0.0100,20260308-235131
16,43,466.12,772,0.0100,20260308-235131
17,9,86.99,121,0.0100,20260308-235132
18,39,410.14,665,0.0100,20260308-235132
19,43,470.66,838,0.0100,20260308-235132
20,0,-8.60,21,0.0100,20260308-235133
21,28,292.18,457,0.0100,20260308-235133
22,6,56.42,105,0.0100,20260308-235134
23,22,227.80,353,0.0100,20260308-235136
24,47,504.79,1058,0.0100,20260308-235136
25,26,263.19,478,0.0100,20260308-235137
26,33,353.79,505,0.0100,20260308-235137
27,44,472.34,828,0.0100,20260308-235138
28,25,263.94,432,0.0100,20260308-235138
29,28,287.22,552,0.0100,20260308-235139
30,32,335.26,417,0.0100,20260308-235140
31,38,407.98,658,0.0100,20260308-235140
32,32,343.34,544,0.0100,20260308-235140
33,65,706.57,1458,0.0100,20260308-235142
34,47,503.34,753,0.0100,20260308-235143
35,61,662.50,1539,0.0100,20260308-235144
36,31,323.09,363,0.0100,20260308-235144
37,28,296.71,527,0.0100,20260308-235144
38,54,588.10,977,0.0100,20260308-235145
39,17,170.19,289,0.0100,20260308-235145
40,25,260.94,419,0.0100,20260308-235145
41,37,399.16,650,0.0100,20260308-235146
42,8,76.97,112,0.0100,20260308-235147
43,53,569.62,962,0.0100,20260308-235149
44,25,257.41,404,0.0100,20260308-235149
45,49,527.57,1010,0.0100,20260308-235151
46,15,150.58,228,0.0100,20260308-235151
47,24,251.95,400,0.0100,20260308-235151
48,43,456.02,848,0.0100,20260308-235151
49,37,397.08,677,0.0100,20260308-235151
50,35,362.75,471,0.0100,20260308-235151
51,29,304.60,420,0.0100,20260308-235152
52,15,150.09,167,0.0100,20260308-235153
53,56,611.59,1083,0.0100,20260308-235155
54,1,0.72,10,0.0100,20260308-235155
55,56,597.84,1022,0.0100,20260308-235156
56,41,441.90,708,0.0100,20260308-235156
57,20,204.30,310,0.0100,20260308-235156
58,42,444.10,807,0.0100,20260308-235158
59,30,311.64,427,0.0100,20260308-235158
60,53,571.43,1035,0.0100,20260308-235159
61,39,418.37,671,0.0100,20260308-235200
62,39,416.33,597,0.0100,20260308-235200
63,33,354.38,546,0.0100,20260308-235200
64,25,259.06,360,0.0100,20260308-235200
65,41,434.03,628,0.0100,20260308-235200
66,31,326.93,509,0.0100,20260308-235201
67,58,627.60,1312,0.0100,20260308-235201
68,6,32.41,212,0.0100,20260308-235202
69,12,116.69,144,0.0100,20260308-235203
70,51,541.84,1075,0.0100,20260308-235203
71,48,515.29,859,0.0100,20260308-235205
72,23,237.43,311,0.0100,20260308-235205
