episode,score,total_reward,steps,eps,timestamp
1,0,-9.98,8,1.0000,20260309-004152
2,1,-0.12,8,1.0000,20260309-004152
3,0,-10.28,8,1.0000,20260309-004152
4,0,-10.69,12,1.0000,20260309-004152
5,0,-10.91,13,1.0000,20260309-004152
6,0,-10.28,17,0.9995,20260309-004152
7,0,-10.14,6,0.9985,20260309-004152
8,0,-9.94,10,0.9970,20260309-004152
9,0,-10.14,6,0.9965,20260309-004152
10,0,-11.12,25,0.9955,20260309-004152
11,0,-11.04,22,0.9930,20260309-004152
12,0,-11.46,16,0.9905,20260309-004152
13,1,-0.63,16,0.9891,20260309-004152
14,0,-15.89,39,0.9886,20260309-004152
15,0,-10.78,23,0.9851,20260309-004152
16,0,-10.10,8,0.9846,20260309-004152
17,1,-0.67,20,0.9831,20260309-004152
18,0,-10.93,15,0.9831,20260309-004152
19,1,-4.76,43,0.9826,20260309-004152
20,0,-14.74,44,0.9822,20260309-004152
21,0,-10.20,9,0.9807,20260309-004153
22,1,-0.10,6,0.9797,20260309-004153
23,0,-10.20,9,0.9787,20260309-004153
24,0,-11.65,22,0.9782,20260309-004153
25,0,-10.14,9,0.9777,20260309-004153
26,1,0.08,9,0.9743,20260309-004153
27,0,-10.14,21,0.9743,20260309-004153
28,1,-0.27,19,0.9738,20260309-004153
29,0,-10.20,12,0.9724,20260309-004153
30,1,-2.84,52,0.9700,20260309-004153
31,1,0.02,12,0.9685,20260309-004153
32,0,-10.02,9,0.9680,20260309-004153
33,0,-11.71,26,0.9680,20260309-004153
34,0,-10.61,16,0.9666,20260309-004153
35,0,-10.36,19,0.9646,20260309-004153
36,0,-12.90,29,0.9637,20260309-004153
37,0,-10.08,12,0.9622,20260309-004153
38,0,-10.83,17,0.9617,20260309-004153
39,0,-14.62,38,0.9613,20260309-004153
40,0,-10.24,16,0.9603,20260309-004153
41,0,-10.12,13,0.9603,20260309-004153
42,0,-10.14,9,0.9593,20260309-004153
43,1,-0.92,20,0.9589,20260309-004153
44,0,-10.08,6,0.9574,20260309-004153
45,0,-10.16,8,0.9574,20260309-004153
46,0,-10.22,8,0.9565,20260309-004153
47,0,-10.73,13,0.9555,20260309-004153
48,0,-10.12,7,0.9541,20260309-004153
49,0,-10.16,8,0.9536,20260309-004153
50,0,-10.92,22,0.9488,20260309-004153
51,0,-11.16,19,0.9474,20260309-004153
52,0,-10.42,27,0.9460,20260309-004153
53,0,-10.08,12,0.9432,20260309-004153
54,0,-14.24,46,0.9427,20260309-004153
55,0,-11.96,26,0.9413,20260309-004153
56,0,-17.59,47,0.9399,20260309-004154
57,0,-12.87,19,0.9385,20260309-004154
58,0,-10.49,13,0.9352,20260309-004154
59,1,-0.08,10,0.9352,20260309-004154
60,0,-14.69,43,0.9338,20260309-004154
61,0,-9.94,7,0.9319,20260309-004154
62,0,-10.02,6,0.9310,20260309-004154
63,0,-16.36,56,0.9291,20260309-004154
64,0,-11.63,23,0.9277,20260309-004154
65,0,-10.49,13,0.9259,20260309-004154
66,1,-3.60,47,0.9240,20260309-004154
67,0,-10.33,15,0.9240,20260309-004154
68,0,-10.38,15,0.9222,20260309-004154
69,0,-10.97,16,0.9203,20260309-004154
70,0,-15.12,32,0.9203,20260309-004154
71,0,-10.18,13,0.9199,20260309-004154
72,1,-4.62,49,0.9199,20260309-004154
73,0,-10.36,13,0.9180,20260309-004154
74,0,-10.34,14,0.9176,20260309-004154
75,0,-9.90,9,0.9157,20260309-004154
76,0,-15.47,60,0.9153,20260309-004154
77,0,-10.24,13,0.9144,20260309-004154
78,0,-10.30,16,0.9125,20260309-004154
79,0,-9.98,11,0.9125,20260309-004154
80,0,-12.13,27,0.9098,20260309-004154
81,1,-0.04,12,0.9098,20260309-004154
82,0,-12.40,25,0.9089,20260309-004154
83,0,-12.59,29,0.9048,20260309-004154
84,0,-10.06,13,0.9030,20260309-004154
85,1,-0.08,16,0.9026,20260309-004154
86,0,-12.22,34,0.9003,20260309-004155
87,1,-0.10,12,0.8972,20260309-004155
88,0,-10.81,18,0.8967,20260309-004155
89,0,-14.21,37,0.8958,20260309-004155
90,0,-13.40,33,0.8949,20260309-004155
91,0,-10.16,5,0.8949,20260309-004155
92,0,-11.47,22,0.8931,20260309-004155
93,0,-10.28,11,0.8900,20260309-004155
94,0,-10.36,13,0.8873,20260309-004155
95,0,-18.12,58,0.8865,20260309-004155
96,0,-12.51,26,0.8851,20260309-004155
97,0,-10.24,13,0.8842,20260309-004155
98,0,-12.32,27,0.8838,20260309-004155
99,0,-22.83,73,0.8816,20260309-004155
100,0,-10.45,12,0.8798,20260309-004155
101,0,-13.48,36,0.8789,20260309-004155
102,0,-12.14,19,0.8789,20260309-004155
103,0,-10.34,20,0.8776,20260309-004155
104,0,-10.02,9,0.8750,20260309-004155
105,0,-10.20,9,0.8750,20260309-004155
106,0,-10.54,23,0.8741,20260309-004155
