episode,reward,avg_last50,eps
1,-11.530000000000001,-11.530000000000001,0.9555087299739674
2,-0.5299999999999994,-6.03,0.9295838593083691
3,-11.06,-7.706666666666667,0.8811462735594588
4,-11.07,-8.5475,0.8348149962580034
5,-10.370000000000001,-8.912,0.8190993535905904
6,-10.21,-9.128333333333334,0.8101364063859481
7,-10.49,-9.322857142857144,0.7901291272740233
8,-11.63,-9.611250000000002,0.7279088814457478
9,-11.510000000000002,-9.822222222222225,0.6746249259527646
10,-10.33,-9.873000000000001,0.6632504156875374
11,-10.48,-9.92818181818182,0.6471942574032484
12,-11.06,-10.022500000000003,0.6134710736094845
13,-10.540000000000001,-10.062307692307694,0.5968263714298979
14,-12.479999999999992,-10.235000000000001,0.526944431857975
15,-10.4,-10.246000000000002,0.5162493957828885
16,-13.99999999999996,-10.480624999999996,0.42243679254580524
17,-12.909999999999982,-10.6235294117647,0.36503867978896715
18,-10.17,-10.598333333333327,0.36176725723613945
19,-1.4599999999999955,-10.117368421052626,0.3359567942230718
20,-12.08,-10.215499999999995,0.30261350473635873
21,9.540000000000006,-9.2747619047619,0.2952877493111268
22,-11.200000000000001,-9.362272727272723,0.27794831309213686
23,-10.65,-9.418260869565215,0.2689234911215915
24,-12.499999999999991,-9.546666666666665,0.23719807084571803
25,-0.3599999999999941,-9.179199999999998,0.2327327460258233
26,-1.929999999999989,-8.900384615384612,0.21110727135835275
27,8.359999999999964,-8.26111111111111,0.19419164210941087
28,-11.270000000000001,-8.368571428571427,0.18214981577349748
29,-3.0399999999999796,-8.184827586206895,0.1563021900709221
30,-1.5699999999999932,-7.9643333333333315,0.14435439719357882
31,-10.21,-8.036774193548386,0.1427748075685445
32,-10.43,-8.111562499999996,0.13966729288686708
33,-10.97,-8.198181818181816,0.13298693107982548
34,-10.38,-8.262352941176468,0.13041817051306465
35,-0.6199999999999974,-8.043999999999997,0.12630984574486756
36,-11.4,-8.137222222222219,0.11770957368353363
37,-1.5699999999999772,-7.959729729729727,0.10871181360472038
38,-10.2,-8.018684210526311,0.10757602889934215
39,9.109999999999957,-7.579487179487177,0.10273843983187857
40,-0.6199999999999903,-7.405499999999998,0.0995020589246264
41,-0.49999999999998934,-7.237073170731705,0.09694771712623826
42,-0.45999999999999375,-7.075714285714283,0.09464810274431039
43,-10.76,-7.161395348837207,0.0910725283844399
44,-0.4099999999999966,-7.0079545454545435,0.08913488885642122
45,45.31000000000039,-5.845333333333323,0.07025217774410328
46,8.529999999999898,-5.532826086956513,0.06517477785644382
47,9.009999999999906,-5.223404255319143,0.06193341133432034
48,16.399999999999764,-4.772916666666665,0.051625424911221574
49,17.669999999999852,-4.314897959183675,0.04585501848340066
50,83.74999999999835,-2.553600000000035,0.03336158607531967
51,-0.8199999999999914,-2.3394000000000346,0.03198908072047604
52,116.89999999999925,0.009199999999950421,0.027203730199270037
53,67.25999999999989,1.5755999999999484,0.023613503173685026
54,27.450000000000117,2.345999999999951,0.02073423514653618
55,105.7799999999996,4.668999999999943,0.016680357220743073
56,19.330000000000013,5.259799999999943,0.0160984490468046
57,86.5399999999995,7.2003999999999335,0.013466138765823522
58,241.6000000000019,12.264999999999972,0.01
59,38.36000000000002,13.262399999999971,0.01
60,86.64999999999941,15.201999999999959,0.01
61,87.02999999999923,17.152199999999944,0.01
62,106.98999999999953,19.513199999999937,0.01
63,95.79999999999976,21.639999999999933,0.01
64,97.44999999999929,23.838599999999914,0.01
65,38.519999999999996,24.816999999999915,0.01
66,58.52999999999987,26.267599999999916,0.01
67,86.79999999999924,28.261799999999898,0.01
68,233.5300000000022,33.13579999999994,0.01
69,8.879999999999935,33.34259999999994,0.01
70,155.63,36.69679999999994,0.01
71,116.68999999999906,38.839799999999926,0.01
72,29.29999999999996,39.64979999999992,0.01
73,312.02000000000345,46.10319999999999,0.01
74,156.2200000000006,49.4776,0.01
75,350.36000000000513,56.492000000000104,0.01
76,78.37999999999981,58.0982000000001,0.01
77,116.53999999999897,60.261800000000065,0.01
78,340.3500000000037,67.29420000000015,0.01
79,174.61000000000138,70.84720000000017,0.01
80,86.63999999999947,72.61140000000017,0.01
81,202.86000000000084,76.87280000000018,0.01
82,88.40999999999983,78.84960000000018,0.01
83,9.34999999999998,79.25600000000017,0.01
84,165.96999999999986,82.78300000000017,0.01
85,272.36000000000286,88.24260000000024,0.01
86,213.92000000000073,92.74900000000025,0.01
87,173.94000000000176,96.25920000000028,0.01
88,58.69000000000007,97.63700000000028,0.01
89,193.89000000000198,101.33260000000033,0.01
90,206.0400000000007,105.46580000000036,0.01
91,215.08000000000126,109.77740000000036,0.01
92,301.57000000000426,115.81800000000042,0.01
93,58.08000000000007,117.19480000000046,0.01
94,67.88999999999976,118.56080000000046,0.01
95,107.77999999999957,119.81020000000042,0.01
96,174.5499999999999,123.13060000000043,0.01
97,252.90000000000208,128.00840000000048,0.01
98,106.68999999999893,129.81420000000045,0.01
99,87.6299999999995,131.21340000000043,0.01
