episode,score,total_reward,steps,eps,timestamp
1,1,0.06,8,0.0100,20260309-013232
2,7,54.13,69,0.0100,20260309-013233
3,10,78.21,77,0.0100,20260309-013233
4,15,118.44,165,0.0100,20260309-013235
5,17,144.52,116,0.0100,20260309-013235
6,22,186.31,192,0.0100,20260309-013235
7,28,245.54,240,0.0100,20260309-013236
8,20,157.94,246,0.0100,20260309-013236
9,21,176.43,210,0.0100,20260309-013237
10,32,273.82,309,0.0100,20260309-013237
11,17,144.34,130,0.0100,20260309-013237
12,10,83.20,73,0.0100,20260309-013237
13,4,30.30,23,0.0100,20260309-013238
14,5,35.30,54,0.0100,20260309-013238
15,19,153.43,247,0.0100,20260309-013239
16,19,165.79,138,0.0100,20260309-013240
17,23,184.87,288,0.0100,20260309-013240
18,37,293.39,484,0.0100,20260309-013240
19,17,132.25,201,0.0100,20260309-013240
20,23,185.38,255,0.0100,20260309-013240
21,10,85.57,70,0.0100,20260309-013241
22,30,260.70,277,0.0100,20260309-013243
23,24,200.75,216,0.0100,20260309-013243
24,18,143.27,216,0.0100,20260309-013244
25,28,207.56,399,0.0100,20260309-013244
26,25,189.73,345,0.0100,20260309-013244
27,3,20.01,23,0.0100,20260309-013244
28,13,109.45,95,0.0100,20260309-013245
29,30,241.93,330,0.0100,20260309-013245
30,15,123.38,122,0.0100,20260309-013246
31,6,45.72,54,0.0100,20260309-013246
32,27,210.87,339,0.0100,20260309-013246
33,23,195.14,218,0.0100,20260309-013247
34,26,217.21,247,0.0100,20260309-013248
35,33,234.70,495,0.0100,20260309-013248
36,15,131.18,103,0.0100,20260309-013248
37,7,57.14,64,0.0100,20260309-013248
38,20,155.96,246,0.0100,20260309-013248
39,6,48.24,50,0.0100,20260309-013249
40,23,190.36,253,0.0100,20260309-013249
41,20,152.52,246,0.0100,20260309-013250
42,2,8.31,49,0.0100,20260309-013251
43,22,187.24,199,0.0100,20260309-013251
44,33,281.71,328,0.0100,20260309-013252
45,16,123.62,156,0.0100,20260309-013252
46,27,228.47,265,0.0100,20260309-013252
47,9,74.48,79,0.0100,20260309-013252
48,11,91.24,98,0.0100,20260309-013252
49,2,9.52,13,0.0100,20260309-013252
50,27,228.58,245,0.0100,20260309-013253
51,32,262.26,324,0.0100,20260309-013253
52,4,27.89,33,0.0100,20260309-013253
53,40,329.90,390,0.0100,20260309-013254
54,17,136.40,194,0.0100,20260309-013255
