episode,score,total_reward,steps,eps,timestamp
1,0.00,-12.41,32,1.0000,20260308-173142
2,0.00,-10.66,7,1.0000,20260308-173142
3,0.00,-10.83,14,1.0000,20260308-173142
4,0.00,-10.66,7,1.0000,20260308-173142
5,0.00,-10.59,10,0.9965,20260308-173142
6,0.00,-10.01,12,0.9905,20260308-173142
7,0.00,-11.78,19,0.9812,20260308-173142
8,0.00,-14.13,54,0.9550,20260308-173143
9,0.00,-21.14,115,0.9017,20260308-173143
10,0.00,-20.09,90,0.8620,20260308-173144
11,0.00,-10.01,12,0.8568,20260308-173144
12,0.00,-12.77,38,0.8407,20260308-173144
13,0.00,-11.54,35,0.8261,20260308-173144
14,0.00,-10.44,5,0.8240,20260308-173144
15,0.00,-11.18,19,0.8162,20260308-173145
16,0.00,-9.91,22,0.8073,20260308-173145
17,0.00,-9.18,19,0.7997,20260308-173145
18,0.00,-12.35,26,0.7893,20260308-173145
19,0.00,-12.23,24,0.7799,20260308-173145
20,0.05,-7.00,82,0.7486,20260308-173145
21,0.05,-10.26,7,0.7460,20260308-173145
22,0.05,-12.88,39,0.7316,20260308-173146
23,0.04,-9.71,32,0.7199,20260308-173146
24,0.08,-0.76,18,0.7135,20260308-173146
25,0.12,-0.46,48,0.6966,20260308-173146
26,0.12,-9.67,18,0.6903,20260308-173146
27,0.11,-11.07,28,0.6807,20260308-173146
28,0.11,-12.96,37,0.6682,20260308-173147
29,0.10,-10.79,10,0.6649,20260308-173147
30,0.10,-9.60,21,0.6580,20260308-173147
31,0.10,-9.87,18,0.6521,20260308-173147
32,0.09,-12.91,42,0.6385,20260308-173147
33,0.09,-10.68,9,0.6356,20260308-173147
34,0.09,-10.78,19,0.6296,20260308-173147
35,0.09,-10.19,10,0.6265,20260308-173147
36,0.08,-10.68,9,0.6237,20260308-173147
37,0.08,-11.22,43,0.6104,20260308-173148
38,0.08,-10.17,18,0.6049,20260308-173148
39,0.10,-1.62,44,0.5918,20260308-173148
40,0.10,-9.57,8,0.5894,20260308-173148
41,0.10,-11.45,26,0.5818,20260308-173148
42,0.12,-1.79,31,0.5728,20260308-173148
43,0.12,-11.73,24,0.5660,20260308-173148
44,0.11,-10.73,34,0.5565,20260308-173148
45,0.11,-10.23,34,0.5471,20260308-173149
46,0.11,-13.20,61,0.5306,20260308-173149
47,0.11,-10.57,8,0.5285,20260308-173149
48,0.10,-9.55,6,0.5269,20260308-173149
49,0.12,-0.68,50,0.5139,20260308-173149
50,0.12,-9.68,9,0.5116,20260308-173149
51,0.16,8.93,40,0.5015,20260308-173150
52,0.16,-9.64,15,0.4977,20260308-173150
53,0.16,-18.93,94,0.4749,20260308-173150
54,0.20,11.72,41,0.4652,20260308-173151
55,0.20,-13.89,90,0.4448,20260308-173151
56,0.20,-10.61,12,0.4421,20260308-173151
57,0.26,19.21,53,0.4305,20260308-173151
58,0.30,6.88,55,0.4189,20260308-173152
59,0.30,-13.14,35,0.4116,20260308-173152
60,0.30,-9.28,9,0.4097,20260308-173152
61,0.30,-9.66,7,0.4083,20260308-173152
62,0.34,10.42,41,0.4000,20260308-173152
63,0.36,0.67,25,0.3951,20260308-173152
64,0.36,-9.68,9,0.3933,20260308-173152
65,0.36,-10.60,31,0.3872,20260308-173153
66,0.36,-9.79,10,0.3853,20260308-173153
67,0.38,1.35,37,0.3782,20260308-173153
68,0.38,-10.06,27,0.3732,20260308-173153
69,0.38,-10.55,16,0.3702,20260308-173153
70,0.38,-0.16,28,0.3650,20260308-173153
71,0.40,-0.07,9,0.3634,20260308-173153
72,0.42,1.22,30,0.3580,20260308-173153
73,0.46,8.31,132,0.3351,20260308-173154
74,0.44,-9.23,14,0.3328,20260308-173154
75,0.46,10.78,45,0.3254,20260308-173154
76,0.46,-9.34,15,0.3229,20260308-173154
77,0.46,-11.38,19,0.3199,20260308-173155
78,0.48,-0.85,27,0.3156,20260308-173155
79,0.48,-9.77,8,0.3143,20260308-173155
80,0.50,1.88,34,0.3090,20260308-173155
81,0.50,-9.53,24,0.3054,20260308-173155
82,0.50,-8.85,16,0.3029,20260308-173155
83,0.50,-11.41,22,0.2996,20260308-173155
84,0.52,0.29,33,0.2947,20260308-173156
85,0.52,-11.34,25,0.2910,20260308-173156
86,0.54,0.90,32,0.2864,20260308-173156
87,0.56,0.90,42,0.2805,20260308-173156
88,0.56,-9.66,7,0.2795,20260308-173156
89,0.54,-9.13,24,0.2761,20260308-173156
90,0.56,1.76,26,0.2726,20260308-173157
91,0.60,11.34,49,0.2660,20260308-173157
92,0.60,-0.49,31,0.2619,20260308-173157
93,0.64,11.00,33,0.2576,20260308-173157
94,0.64,-9.40,21,0.2549,20260308-173157
95,0.66,1.41,21,0.2522,20260308-173158
96,0.68,-0.49,21,0.2496,20260308-173158
97,0.68,-10.06,7,0.2487,20260308-173158
98,0.72,10.25,78,0.2392,20260308-173158
99,0.74,10.30,73,0.2306,20260308-173159
100,0.74,-8.71,22,0.2281,20260308-173159
101,0.70,-9.66,7,0.2273,20260308-173159
102,0.74,11.00,23,0.2247,20260308-173159
103,0.74,-11.22,13,0.2233,20260308-173159
104,0.70,-9.29,20,0.2210,20260308-173159
105,0.72,2.47,55,0.2151,20260308-173159
106,0.76,8.99,44,0.2104,20260308-173200
107,0.74,11.88,35,0.2067,20260308-173200
108,0.72,1.55,37,0.2029,20260308-173200
109,0.72,-17.78,49,0.1980,20260308-173200
110,0.72,-9.63,14,0.1966,20260308-173200
111,0.80,32.46,59,0.1909,20260308-173201
112,0.78,0.51,21,0.1889,20260308-173201
113,0.82,20.78,86,0.1810,20260308-173201
