episode,score,total_reward,steps,eps,timestamp
1,11,94.75,100,0.0100,20260309-180742
2,12,100.97,121,0.0100,20260309-180742
3,24,210.87,168,0.0100,20260309-180743
4,24,206.68,183,0.0100,20260309-180744
5,25,223.28,197,0.0100,20260309-180744
6,22,186.66,207,0.0100,20260309-180744
7,27,226.81,245,0.0100,20260309-180745
8,16,129.22,168,0.0100,20260309-180746
9,36,310.57,278,0.0100,20260309-180746
10,29,236.85,279,0.0100,20260309-180746
11,28,227.61,283,0.0100,20260309-180746
12,25,199.84,298,0.0100,20260309-180747
13,19,161.67,146,0.0100,20260309-180747
14,33,278.47,334,0.0100,20260309-180747
15,37,319.29,337,0.0100,20260309-180748
16,18,150.91,164,0.0100,20260309-180748
17,35,291.84,357,0.0100,20260309-180748
18,29,219.81,375,0.0100,20260309-180748
19,5,38.17,39,0.0100,20260309-180749
20,18,149.26,196,0.0100,20260309-180749
21,12,103.94,73,0.0100,20260309-180749
22,32,243.48,418,0.0100,20260309-180749
23,16,131.47,172,0.0100,20260309-180750
24,8,67.49,61,0.0100,20260309-180750
25,30,247.77,283,0.0100,20260309-180751
26,15,119.55,130,0.0100,20260309-180751
27,25,195.41,262,0.0100,20260309-180752
28,17,148.19,134,0.0100,20260309-180753
29,25,200.28,274,0.0100,20260309-180753
30,9,73.60,85,0.0100,20260309-180753
31,23,192.38,223,0.0100,20260309-180753
32,30,251.47,277,0.0100,20260309-180753
33,28,232.14,264,0.0100,20260309-180753
34,5,40.68,43,0.0100,20260309-180753
35,44,356.63,476,0.0100,20260309-180754
36,19,166.88,149,0.0100,20260309-180754
37,37,316.45,346,0.0100,20260309-180754
38,22,194.19,166,0.0100,20260309-180754
39,9,72.89,75,0.0100,20260309-180754
40,15,126.31,125,0.0100,20260309-180754
41,11,96.51,82,0.0100,20260309-180755
42,26,212.92,247,0.0100,20260309-180755
43,23,177.64,317,0.0100,20260309-180755
44,5,36.94,42,0.0100,20260309-180755
45,42,356.80,439,0.0100,20260309-180756
46,24,180.77,318,0.0100,20260309-180757
47,16,136.12,141,0.0100,20260309-180757
48,20,170.47,187,0.0100,20260309-180758
49,25,216.91,219,0.0100,20260309-180758
50,25,214.87,202,0.0100,20260309-180758
51,23,184.81,253,0.0100,20260309-180758
52,21,164.76,205,0.0100,20260309-180759
53,26,228.72,189,0.0100,20260309-180759
54,25,202.55,254,0.0100,20260309-180759
55,11,96.80,68,0.0100,20260309-180800
56,25,218.80,201,0.0100,20260309-180800
57,4,29.52,30,0.0100,20260309-180800
58,5,38.77,38,0.0100,20260309-180801
59,10,82.02,91,0.0100,20260309-180801
60,29,236.37,271,0.0100,20260309-180801
61,31,252.63,333,0.0100,20260309-180801
62,9,73.84,93,0.0100,20260309-180801
63,29,241.48,282,0.0100,20260309-180801
64,20,162.71,181,0.0100,20260309-180802
65,25,203.24,269,0.0100,20260309-180802
66,22,190.16,169,0.0100,20260309-180802
67,8,68.75,60,0.0100,20260309-180804
68,10,80.01,94,0.0100,20260309-180804
69,10,81.18,99,0.0100,20260309-180805
70,29,238.79,303,0.0100,20260309-180805
71,20,173.54,166,0.0100,20260309-180805
72,39,308.93,507,0.0100,20260309-180806
73,25,207.88,249,0.0100,20260309-180806
74,27,232.18,227,0.0100,20260309-180807
75,46,393.61,474,0.0100,20260309-180807
76,23,185.33,225,0.0100,20260309-180808
77,24,194.56,269,0.0100,20260309-180808
78,31,250.81,337,0.0100,20260309-180808
79,33,273.84,337,0.0100,20260309-180808
80,37,307.03,402,0.0100,20260309-180809
81,22,193.94,178,0.0100,20260309-180809
82,14,112.52,147,0.0100,20260309-180809
83,36,303.80,323,0.0100,20260309-180809
84,8,64.73,67,0.0100,20260309-180810
85,20,167.56,181,0.0100,20260309-180810
86,17,146.93,146,0.0100,20260309-180811
87,23,191.47,211,0.0100,20260309-180811
88,12,100.45,102,0.0100,20260309-180811
89,17,139.16,156,0.0100,20260309-180812
90,29,237.38,308,0.0100,20260309-180812
91,21,174.75,190,0.0100,20260309-180812
92,34,284.78,323,0.0100,20260309-180812
93,35,279.13,415,0.0100,20260309-180813
94,20,160.74,200,0.0100,20260309-180813
95,17,132.16,174,0.0100,20260309-180813
96,11,90.99,111,0.0100,20260309-180814
97,26,231.42,191,0.0100,20260309-180815
98,26,224.22,283,0.0100,20260309-180815
99,15,125.11,157,0.0100,20260309-180816
100,25,221.74,172,0.0100,20260309-180816
101,25,203.80,296,0.0100,20260309-180816
102,15,130.57,133,0.0100,20260309-180816
103,24,190.92,251,0.0100,20260309-180816
104,21,176.59,198,0.0100,20260309-180816
105,43,337.57,490,0.0100,20260309-180816
106,18,154.47,135,0.0100,20260309-180817
107,35,291.48,302,0.0100,20260309-180818
108,27,231.24,224,0.0100,20260309-180818
109,28,233.94,281,0.0100,20260309-180818
110,30,235.22,409,0.0100,20260309-180819
111,14,116.72,121,0.0100,20260309-180819
112,8,63.92,72,0.0100,20260309-180819
113,21,164.07,221,0.0100,20260309-180819
114,19,158.50,193,0.0100,20260309-180820
115,20,165.30,194,0.0100,20260309-180820
116,21,175.91,209,0.0100,20260309-180821
117,20,168.34,196,0.0100,20260309-180821
118,21,173.15,208,0.0100,20260309-180821
119,14,122.51,100,0.0100,20260309-180821
120,25,213.52,218,0.0100,20260309-180822
121,37,306.93,400,0.0100,20260309-180822
122,23,196.80,156,0.0100,20260309-180823
123,15,118.73,164,0.0100,20260309-180823
124,10,81.19,103,0.0100,20260309-180824
125,24,181.58,323,0.0100,20260309-180824
126,31,271.13,257,0.0100,20260309-180824
127,3,19.78,24,0.0100,20260309-180824
128,35,297.00,337,0.0100,20260309-180824
129,24,207.49,210,0.0100,20260309-180825
130,16,134.59,140,0.0100,20260309-180826
131,9,71.72,78,0.0100,20260309-180826
132,8,64.61,77,0.0100,20260309-180826
133,37,304.90,371,0.0100,20260309-180827
134,33,279.85,299,0.0100,20260309-180827
