episode,score,total_reward,steps,eps,timestamp
1,0,-10.16,8,0.9980,20260309-185415
2,0,-10.32,9,0.9975,20260309-185415
3,0,-10.26,9,0.9975,20260309-185415
4,0,-10.12,10,0.9970,20260309-185415
5,0,-10.12,10,0.9970,20260309-185415
6,0,-10.24,10,0.9970,20260309-185415
7,1,0.04,10,0.9970,20260309-185415
8,0,-10.16,11,0.9965,20260309-185415
9,0,-10.35,11,0.9965,20260309-185415
10,0,-10.20,12,0.9960,20260309-185415
11,0,-10.38,12,0.9960,20260309-185415
12,0,-10.12,13,0.9955,20260309-185415
13,0,-10.18,13,0.9955,20260309-185415
14,0,-10.59,14,0.9950,20260309-185415
15,0,-10.57,15,0.9945,20260309-185415
16,0,-10.20,6,0.9945,20260309-185416
17,0,-10.10,8,0.9935,20260309-185416
18,0,-10.34,17,0.9935,20260309-185416
19,0,-10.87,18,0.9930,20260309-185416
20,0,-10.99,18,0.9930,20260309-185416
21,0,-10.93,18,0.9930,20260309-185416
22,0,-10.85,19,0.9925,20260309-185416
23,0,-10.49,19,0.9925,20260309-185416
24,0,-10.61,19,0.9925,20260309-185416
25,0,-10.02,6,0.9920,20260309-185416
26,0,-11.26,20,0.9920,20260309-185416
27,0,-10.00,13,0.9905,20260309-185416
28,0,-10.54,23,0.9905,20260309-185416
29,0,-10.91,13,0.9905,20260309-185416
30,0,-11.18,12,0.9905,20260309-185416
31,0,-10.32,12,0.9900,20260309-185416
32,0,-11.04,26,0.9891,20260309-185416
33,0,-10.18,13,0.9891,20260309-185416
34,0,-10.22,8,0.9886,20260309-185416
35,0,-10.32,9,0.9886,20260309-185416
36,0,-11.24,18,0.9881,20260309-185416
37,0,-10.22,11,0.9876,20260309-185416
38,0,-13.38,30,0.9871,20260309-185416
39,1,0.04,10,0.9871,20260309-185416
40,0,-10.37,22,0.9871,20260309-185416
41,0,-9.96,12,0.9866,20260309-185416
42,1,-0.02,16,0.9866,20260309-185416
43,0,-13.04,32,0.9861,20260309-185416
44,0,-10.53,14,0.9861,20260309-185416
45,0,-12.52,21,0.9861,20260309-185416
46,0,-10.24,19,0.9861,20260309-185416
47,0,-10.24,10,0.9856,20260309-185416
48,0,-11.97,25,0.9846,20260309-185416
49,2,8.25,35,0.9846,20260309-185416
50,0,-11.10,13,0.9841,20260309-185416
51,0,-10.65,17,0.9836,20260309-185416
52,0,-10.12,7,0.9831,20260309-185416
53,0,-10.14,9,0.9826,20260309-185416
54,0,-10.65,14,0.9822,20260309-185416
55,0,-10.24,10,0.9817,20260309-185416
56,0,-13.12,41,0.9817,20260309-185416
57,0,-10.22,8,0.9817,20260309-185416
58,0,-11.98,29,0.9817,20260309-185416
59,1,0.02,9,0.9797,20260309-185417
60,0,-10.10,8,0.9797,20260309-185417
61,0,-11.63,23,0.9792,20260309-185417
62,2,6.15,46,0.9792,20260309-185417
63,0,-10.14,9,0.9787,20260309-185417
64,0,-10.63,21,0.9787,20260309-185417
65,0,-11.12,12,0.9787,20260309-185417
66,0,-10.79,19,0.9782,20260309-185417
67,0,-10.24,13,0.9782,20260309-185417
68,0,-11.54,18,0.9782,20260309-185417
69,0,-12.20,26,0.9777,20260309-185417
70,0,-11.93,24,0.9768,20260309-185417
71,0,-12.52,34,0.9768,20260309-185417
72,0,-10.92,22,0.9753,20260309-185417
73,0,-10.16,14,0.9748,20260309-185417
74,0,-11.22,16,0.9748,20260309-185417
75,0,-13.52,28,0.9743,20260309-185417
76,0,-10.12,7,0.9743,20260309-185417
77,0,-10.28,11,0.9743,20260309-185417
78,0,-11.24,18,0.9734,20260309-185417
79,0,-10.36,13,0.9724,20260309-185417
80,0,-14.77,41,0.9724,20260309-185417
81,1,-0.26,10,0.9719,20260309-185417
82,0,-10.24,13,0.9719,20260309-185417
83,0,-12.17,29,0.9719,20260309-185417
84,0,-10.30,16,0.9714,20260309-185417
85,0,-10.28,14,0.9714,20260309-185417
86,0,-14.40,31,0.9709,20260309-185417
87,0,-19.62,63,0.9709,20260309-185417
88,1,-1.12,19,0.9700,20260309-185417
89,0,-11.31,24,0.9700,20260309-185417
90,1,0.00,11,0.9695,20260309-185417
91,1,-0.53,21,0.9695,20260309-185417
92,0,-14.27,43,0.9690,20260309-185417
93,0,-10.22,11,0.9690,20260309-185417
94,0,-10.02,12,0.9685,20260309-185417
95,0,-11.39,27,0.9685,20260309-185417
96,0,-19.60,69,0.9680,20260309-185417
97,0,-10.37,16,0.9675,20260309-185417
98,0,-11.44,24,0.9670,20260309-185417
99,1,-0.20,10,0.9670,20260309-185417
100,0,-10.18,10,0.9670,20260309-185417
101,0,-10.14,6,0.9670,20260309-185417
102,0,-14.74,44,0.9670,20260309-185417
103,1,-7.33,54,0.9670,20260309-185417
104,0,-13.54,42,0.9666,20260309-185417
105,0,-18.06,57,0.9666,20260309-185417
106,1,0.16,10,0.9661,20260309-185417
107,0,-10.14,9,0.9656,20260309-185418
108,0,-10.08,9,0.9651,20260309-185418
109,0,-10.08,6,0.9651,20260309-185418
110,0,-11.50,17,0.9651,20260309-185418
111,1,-0.08,13,0.9646,20260309-185418
112,0,-10.28,14,0.9646,20260309-185418
113,0,-10.91,16,0.9641,20260309-185418
114,0,-10.16,5,0.9627,20260309-185418
115,0,-10.08,9,0.9627,20260309-185418
116,0,-16.90,49,0.9622,20260309-185418
117,0,-10.08,6,0.9622,20260309-185418
118,0,-10.28,11,0.9617,20260309-185418
119,1,-0.04,9,0.9613,20260309-185418
120,0,-10.22,11,0.9613,20260309-185418
121,0,-12.72,28,0.9608,20260309-185418
122,1,0.08,9,0.9608,20260309-185418
123,0,-11.89,19,0.9603,20260309-185418
124,0,-10.45,15,0.9598,20260309-185418
125,0,-12.97,28,0.9589,20260309-185418
126,1,-1.48,22,0.9584,20260309-185418
127,0,-13.58,38,0.9584,20260309-185418
128,0,-14.02,43,0.9579,20260309-185418
129,0,-10.16,5,0.9579,20260309-185418
130,0,-10.67,19,0.9579,20260309-185418
131,0,-14.88,50,0.9574,20260309-185418
132,0,-18.06,43,0.9574,20260309-185418
133,1,-1.99,25,0.9569,20260309-185418
134,0,-10.16,11,0.9569,20260309-185418
135,1,-0.16,21,0.9569,20260309-185418
136,0,-10.16,11,0.9565,20260309-185418
137,0,-11.81,20,0.9565,20260309-185418
138,0,-11.03,16,0.9565,20260309-185418
139,1,-3.78,34,0.9560,20260309-185418
140,0,-10.24,10,0.9560,20260309-185418
141,0,-10.20,9,0.9555,20260309-185418
142,0,-11.03,27,0.9555,20260309-185418
143,0,-10.79,16,0.9550,20260309-185418
144,0,-11.48,21,0.9546,20260309-185418
145,0,-10.47,14,0.9546,20260309-185418
146,0,-9.98,8,0.9541,20260309-185418
147,2,6.03,37,0.9536,20260309-185418
148,0,-10.10,8,0.9531,20260309-185418
149,0,-12.29,29,0.9531,20260309-185418
150,0,-10.06,10,0.9517,20260309-185418
151,0,-13.29,49,0.9512,20260309-185418
152,0,-10.57,25,0.9503,20260309-185419
153,1,0.06,14,0.9503,20260309-185419
154,0,-10.55,13,0.9503,20260309-185419
155,0,-10.99,18,0.9493,20260309-185419
156,0,-10.08,9,0.9493,20260309-185419
157,0,-10.28,14,0.9493,20260309-185419
158,0,-10.32,9,0.9488,20260309-185419
159,0,-11.38,20,0.9488,20260309-185419
160,0,-10.45,18,0.9484,20260309-185419
161,0,-13.30,26,0.9484,20260309-185419
162,0,-13.20,39,0.9479,20260309-185419
