episode,score,total_reward,steps,eps,timestamp
1,1,0.75,27,0.1236,20260308-204300
2,3,22.16,28,0.1236,20260308-204300
3,3,21.11,43,0.1226,20260308-204300
4,3,22.76,48,0.1223,20260308-204300
5,4,31.13,52,0.1221,20260308-204301
6,2,11.76,27,0.1220,20260308-204301
7,3,19.04,70,0.1210,20260308-204301
8,6,49.67,80,0.1204,20260308-204301
9,6,53.73,84,0.1201,20260308-204301
10,5,43.63,63,0.1197,20260308-204301
11,5,41.14,92,0.1197,20260308-204301
12,6,53.11,96,0.1194,20260308-204301
13,7,69.43,145,0.1165,20260308-204302
14,2,6.28,55,0.1165,20260308-204302
15,5,42.27,99,0.1162,20260308-204302
16,1,0.52,10,0.1160,20260308-204302
17,6,54.24,103,0.1158,20260308-204302
18,4,34.86,79,0.1150,20260308-204302
19,6,55.88,99,0.1146,20260308-204302
20,11,108.31,181,0.1145,20260308-204302
21,7,64.08,120,0.1139,20260308-204302
22,9,80.97,200,0.1134,20260308-204302
23,11,105.87,205,0.1131,20260308-204302
24,3,22.40,54,0.1128,20260308-204303
25,1,-0.06,28,0.1124,20260308-204303
26,11,105.13,219,0.1123,20260308-204303
27,10,95.97,144,0.1118,20260308-204303
28,7,63.61,147,0.1110,20260308-204303
29,3,22.31,43,0.1110,20260308-204303
30,3,23.38,46,0.1098,20260308-204303
31,8,72.55,94,0.1097,20260308-204303
32,16,161.01,276,0.1091,20260308-204303
33,7,66.67,121,0.1091,20260308-204303
34,1,0.79,13,0.1091,20260308-204303
35,4,32.31,34,0.1091,20260308-204303
36,13,126.06,238,0.1089,20260308-204303
37,10,96.94,147,0.1080,20260308-204304
38,7,65.24,154,0.1078,20260308-204304
39,1,1.22,20,0.1078,20260308-204304
40,3,22.68,66,0.1074,20260308-204304
41,3,22.99,45,0.1073,20260308-204304
42,1,0.97,15,0.1070,20260308-204304
43,4,31.57,48,0.1054,20260308-204304
44,17,172.70,308,0.1049,20260308-204304
45,7,64.75,73,0.1040,20260308-204305
46,9,84.73,97,0.1040,20260308-204305
47,11,104.58,164,0.1035,20260308-204305
48,19,191.21,209,0.1032,20260308-204305
49,8,80.18,201,0.1023,20260308-204305
50,11,108.70,182,0.1021,20260308-204305
51,2,11.65,28,0.1018,20260308-204305
52,6,55.55,112,0.1015,20260308-204305
53,14,141.99,246,0.1012,20260308-204305
54,8,76.97,122,0.1007,20260308-204305
55,11,108.37,195,0.0990,20260308-204306
56,6,52.11,56,0.0987,20260308-204306
57,6,54.20,107,0.0986,20260308-204306
58,11,104.38,194,0.0974,20260308-204306
59,5,48.75,131,0.0969,20260308-204306
60,7,65.35,103,0.0967,20260308-204307
61,11,107.06,245,0.0965,20260308-204307
62,2,11.26,17,0.0957,20260308-204307
63,6,56.72,135,0.0954,20260308-204307
64,2,14.59,74,0.0954,20260308-204307
65,2,12.26,37,0.0949,20260308-204307
66,12,115.81,152,0.0948,20260308-204307
