episode,score,total_reward,steps,eps,timestamp
1,1,0.08,6,0.0100,20260309-014726
2,9,78.19,58,0.0100,20260309-014727
3,12,97.50,117,0.0100,20260309-014728
4,16,133.70,151,0.0100,20260309-014729
5,19,167.47,155,0.0100,20260309-014729
6,9,74.73,59,0.0100,20260309-014729
7,23,189.95,233,0.0100,20260309-014730
8,29,248.18,257,0.0100,20260309-014731
9,31,270.94,267,0.0100,20260309-014731
10,27,218.19,289,0.0100,20260309-014731
11,27,207.56,301,0.0100,20260309-014732
12,33,282.15,305,0.0100,20260309-014732
13,20,166.19,175,0.0100,20260309-014732
14,22,188.30,177,0.0100,20260309-014732
15,29,252.90,279,0.0100,20260309-014732
16,29,223.27,348,0.0100,20260309-014733
17,30,241.92,352,0.0100,20260309-014733
18,29,232.05,369,0.0100,20260309-014733
19,39,311.82,373,0.0100,20260309-014733
20,34,284.72,375,0.0100,20260309-014733
21,35,289.24,382,0.0100,20260309-014733
22,3,20.58,39,0.0100,20260309-014734
23,9,71.11,89,0.0100,20260309-014734
24,10,87.87,69,0.0100,20260309-014735
25,18,149.81,164,0.0100,20260309-014735
26,26,225.81,213,0.0100,20260309-014735
27,4,27.81,38,0.0100,20260309-014735
28,24,196.03,254,0.0100,20260309-014736
29,31,257.12,321,0.0100,20260309-014736
30,7,60.21,37,0.0100,20260309-014736
31,26,217.25,245,0.0100,20260309-014736
32,14,119.74,108,0.0100,20260309-014736
33,23,182.01,236,0.0100,20260309-014736
34,20,165.94,226,0.0100,20260309-014736
35,25,213.19,212,0.0100,20260309-014737
36,22,182.31,227,0.0100,20260309-014737
37,9,76.21,65,0.0100,20260309-014737
38,21,174.85,191,0.0100,20260309-014738
39,13,108.94,96,0.0100,20260309-014738
40,18,155.86,152,0.0100,20260309-014739
41,31,258.44,290,0.0100,20260309-014739
42,15,119.79,154,0.0100,20260309-014739
43,11,89.20,85,0.0100,20260309-014739
44,17,146.32,138,0.0100,20260309-014739
45,18,141.27,210,0.0100,20260309-014739
46,19,163.97,165,0.0100,20260309-014740
47,31,257.34,328,0.0100,20260309-014740
48,22,178.78,203,0.0100,20260309-014740
49,34,288.75,337,0.0100,20260309-014740
50,21,171.60,170,0.0100,20260309-014740
51,6,45.56,70,0.0100,20260309-014741
52,40,331.50,387,0.0100,20260309-014741
53,17,144.33,140,0.0100,20260309-014741
54,25,204.65,218,0.0100,20260309-014741
55,30,252.55,304,0.0100,20260309-014742
56,22,193.71,191,0.0100,20260309-014743
57,24,198.76,205,0.0100,20260309-014743
58,12,94.23,150,0.0100,20260309-014743
59,17,151.21,117,0.0100,20260309-014743
60,21,186.61,146,0.0100,20260309-014743
61,9,75.81,57,0.0100,20260309-014744
62,12,96.27,137,0.0100,20260309-014744
63,2,9.88,31,0.0100,20260309-014744
64,31,258.34,321,0.0100,20260309-014745
65,25,222.97,188,0.0100,20260309-014745
66,36,312.45,305,0.0100,20260309-014745
67,9,67.27,98,0.0100,20260309-014745
68,25,209.46,242,0.0100,20260309-014745
69,21,175.99,167,0.0100,20260309-014745
70,5,40.38,28,0.0100,20260309-014746
71,16,136.66,130,0.0100,20260309-014746
72,27,223.41,261,0.0100,20260309-014746
73,10,81.20,103,0.0100,20260309-014746
74,13,110.81,88,0.0100,20260309-014747
75,31,251.57,355,0.0100,20260309-014747
76,11,90.95,96,0.0100,20260309-014747
77,15,131.17,99,0.0100,20260309-014747
78,33,268.00,381,0.0100,20260309-014747
79,11,89.72,79,0.0100,20260309-014748
80,21,180.78,193,0.0100,20260309-014748
81,17,140.95,138,0.0100,20260309-014748
82,32,241.07,442,0.0100,20260309-014748
83,21,177.95,165,0.0100,20260309-014749
84,25,185.15,316,0.0100,20260309-014749
85,17,129.92,184,0.0100,20260309-014749
86,39,318.87,454,0.0100,20260309-014750
87,32,263.68,276,0.0100,20260309-014750
88,17,145.70,141,0.0100,20260309-014750
89,12,100.52,99,0.0100,20260309-014750
90,24,206.55,217,0.0100,20260309-014750
91,18,153.87,149,0.0100,20260309-014750
92,23,192.55,192,0.0100,20260309-014751
93,11,91.01,111,0.0100,20260309-014752
94,14,120.66,120,0.0100,20260309-014752
95,27,225.44,268,0.0100,20260309-014752
96,16,139.26,119,0.0100,20260309-014753
97,28,234.53,266,0.0100,20260309-014753
98,23,197.63,197,0.0100,20260309-014753
99,37,290.94,396,0.0100,20260309-014754
100,19,151.16,216,0.0100,20260309-014754
101,24,202.23,197,0.0100,20260309-014754
102,26,211.84,257,0.0100,20260309-014754
103,33,273.87,376,0.0100,20260309-014754
104,27,229.17,247,0.0100,20260309-014755
105,19,165.29,146,0.0100,20260309-014755
106,31,248.74,395,0.0100,20260309-014756
107,18,158.22,118,0.0100,20260309-014756
108,22,183.34,175,0.0100,20260309-014757
109,22,186.01,214,0.0100,20260309-014757
110,28,216.63,355,0.0100,20260309-014757
111,35,276.19,438,0.0100,20260309-014757
112,40,337.43,411,0.0100,20260309-014757
113,14,111.26,146,0.0100,20260309-014758
114,18,143.46,167,0.0100,20260309-014758
115,20,164.77,215,0.0100,20260309-014758
116,2,10.22,14,0.0100,20260309-014758
117,33,287.06,289,0.0100,20260309-014758
118,19,161.48,143,0.0100,20260309-014759
119,20,162.63,224,0.0100,20260309-014759
120,17,147.02,127,0.0100,20260309-014759
121,22,196.12,180,0.0100,20260309-014800
122,26,211.02,267,0.0100,20260309-014800
123,17,146.75,134,0.0100,20260309-014800
124,19,157.72,152,0.0100,20260309-014800
125,16,136.74,127,0.0100,20260309-014800
126,28,220.98,302,0.0100,20260309-014801
127,29,234.35,300,0.0100,20260309-014801
128,30,257.89,254,0.0100,20260309-014801
129,23,187.05,228,0.0100,20260309-014801
130,11,91.83,82,0.0100,20260309-014802
131,12,97.52,108,0.0100,20260309-014802
132,29,254.66,211,0.0100,20260309-014803
133,25,194.29,291,0.0100,20260309-014803
134,24,206.81,189,0.0100,20260309-014803
135,18,154.20,172,0.0100,20260309-014803
136,14,121.71,110,0.0100,20260309-014803
137,23,189.89,199,0.0100,20260309-014804
138,16,134.05,114,0.0100,20260309-014804
139,23,194.75,220,0.0100,20260309-014804
140,10,83.86,84,0.0100,20260309-014805
141,20,158.89,213,0.0100,20260309-014805
142,30,239.94,337,0.0100,20260309-014805
143,33,270.47,350,0.0100,20260309-014806
144,35,276.22,381,0.0100,20260309-014806
145,24,184.00,298,0.0100,20260309-014806
146,26,222.93,212,0.0100,20260309-014807
147,20,168.76,163,0.0100,20260309-014807
148,24,209.32,192,0.0100,20260309-014807
149,28,238.33,271,0.0100,20260309-014807
150,22,196.67,172,0.0100,20260309-014808
151,30,262.92,234,0.0100,20260309-014808
152,24,197.55,247,0.0100,20260309-014808
153,22,190.41,175,0.0100,20260309-014809
154,30,242.93,382,0.0100,20260309-014809
155,21,165.90,247,0.0100,20260309-014809
156,30,253.44,276,0.0100,20260309-014809
157,13,108.43,116,0.0100,20260309-014810
158,8,67.20,46,0.0100,20260309-014810
159,23,193.89,224,0.0100,20260309-014810
160,2,10.24,18,0.0100,20260309-014810
161,11,95.71,70,0.0100,20260309-014810
162,10,79.88,100,0.0100,20260309-014811
163,16,135.87,122,0.0100,20260309-014811
164,33,274.92,351,0.0100,20260309-014811
165,11,95.29,67,0.0100,20260309-014811
