episode,score,total_reward,steps,eps,timestamp
1,0,-10.16,5,0.9999,20260309-194043
2,0,-10.20,6,0.9998,20260309-194043
3,0,-10.20,6,0.9998,20260309-194043
4,1,0.08,6,0.9998,20260309-194043
5,0,-10.12,7,0.9997,20260309-194043
6,0,-10.12,7,0.9997,20260309-194043
7,0,-10.24,7,0.9997,20260309-194043
8,0,-10.04,8,0.9996,20260309-194043
9,0,-10.10,8,0.9996,20260309-194043
10,0,-10.20,9,0.9995,20260309-194043
11,0,-10.24,10,0.9994,20260309-194043
12,0,-10.12,10,0.9994,20260309-194043
13,0,-10.59,11,0.9993,20260309-194043
14,0,-10.24,13,0.9991,20260309-194043
15,0,-10.06,13,0.9991,20260309-194043
16,0,-9.94,7,0.9991,20260309-194043
17,0,-10.34,14,0.9990,20260309-194043
18,0,-10.28,14,0.9990,20260309-194043
19,0,-11.10,16,0.9988,20260309-194043
20,0,-10.24,10,0.9987,20260309-194043
21,0,-11.97,18,0.9986,20260309-194043
22,0,-11.48,18,0.9986,20260309-194043
23,0,-10.81,12,0.9986,20260309-194043
24,0,-10.94,18,0.9986,20260309-194043
25,0,-10.36,19,0.9985,20260309-194043
26,0,-10.14,12,0.9985,20260309-194043
27,1,0.08,9,0.9984,20260309-194043
28,0,-10.53,14,0.9984,20260309-194043
29,0,-10.86,16,0.9983,20260309-194043
30,0,-11.67,21,0.9983,20260309-194043
31,0,-10.20,12,0.9983,20260309-194043
32,0,-10.26,9,0.9982,20260309-194043
33,0,-10.57,15,0.9981,20260309-194043
34,0,-13.15,24,0.9980,20260309-194043
35,0,-10.99,15,0.9979,20260309-194043
36,1,-1.00,25,0.9979,20260309-194043
37,0,-10.24,7,0.9979,20260309-194043
38,0,-10.28,8,0.9978,20260309-194043
39,0,-12.25,27,0.9977,20260309-194043
40,0,-12.00,17,0.9977,20260309-194043
41,0,-10.20,9,0.9976,20260309-194043
42,0,-10.37,16,0.9975,20260309-194044
43,0,-12.65,29,0.9975,20260309-194044
44,0,-12.35,29,0.9975,20260309-194044
45,0,-10.20,12,0.9974,20260309-194044
46,0,-10.44,18,0.9973,20260309-194044
47,0,-10.06,10,0.9973,20260309-194044
48,0,-10.24,10,0.9972,20260309-194044
49,0,-10.83,14,0.9972,20260309-194044
50,0,-10.69,15,0.9972,20260309-194044
51,1,-3.57,33,0.9971,20260309-194044
52,0,-12.97,33,0.9971,20260309-194044
53,0,-11.40,19,0.9971,20260309-194044
54,0,-10.20,9,0.9970,20260309-194044
55,1,-0.27,19,0.9969,20260309-194044
56,1,-0.22,15,0.9969,20260309-194044
57,0,-10.18,10,0.9966,20260309-194044
58,0,-10.32,9,0.9965,20260309-194044
59,0,-9.96,12,0.9965,20260309-194044
60,0,-11.24,15,0.9965,20260309-194044
61,0,-14.30,39,0.9965,20260309-194044
62,0,-10.00,7,0.9965,20260309-194044
63,0,-13.21,33,0.9964,20260309-194044
64,1,0.10,13,0.9964,20260309-194044
65,0,-9.96,9,0.9962,20260309-194044
66,0,-10.42,16,0.9962,20260309-194044
67,0,-9.94,7,0.9959,20260309-194044
68,0,-10.55,16,0.9959,20260309-194044
69,0,-10.18,7,0.9958,20260309-194044
70,0,-10.14,15,0.9958,20260309-194044
71,0,-10.81,12,0.9958,20260309-194044
72,0,-12.89,25,0.9958,20260309-194044
73,1,-0.68,23,0.9958,20260309-194044
74,0,-10.12,7,0.9957,20260309-194044
75,0,-10.14,9,0.9956,20260309-194044
76,0,-11.33,23,0.9956,20260309-194044
77,0,-10.95,20,0.9955,20260309-194044
78,1,-1.78,20,0.9955,20260309-194044
79,0,-10.08,12,0.9953,20260309-194044
80,0,-13.76,44,0.9952,20260309-194044
81,0,-10.53,20,0.9951,20260309-194044
82,1,-2.97,28,0.9951,20260309-194044
83,0,-10.22,11,0.9951,20260309-194044
