episode,score,total_reward,steps,eps,timestamp
1,0,-10.24,7,0.9996,20260309-192726
2,0,-10.24,7,0.9996,20260309-192726
3,0,-10.10,8,0.9994,20260309-192726
4,0,-10.22,8,0.9994,20260309-192726
5,0,-9.98,8,0.9994,20260309-192726
6,0,-10.20,9,0.9993,20260309-192726
7,0,-10.22,11,0.9990,20260309-192726
8,0,-10.16,11,0.9990,20260309-192726
9,0,-10.04,11,0.9990,20260309-192726
10,0,-10.02,12,0.9988,20260309-192726
11,1,-0.23,12,0.9988,20260309-192726
12,0,-10.36,13,0.9987,20260309-192726
13,0,-9.94,13,0.9987,20260309-192726
14,0,-10.22,14,0.9985,20260309-192726
15,0,-10.28,14,0.9985,20260309-192726
16,0,-10.69,15,0.9984,20260309-192726
17,0,-10.85,16,0.9982,20260309-192726
18,0,-10.36,16,0.9982,20260309-192726
19,0,-11.08,17,0.9981,20260309-192726
20,1,0.08,6,0.9981,20260309-192726
21,0,-9.98,8,0.9981,20260309-192726
22,0,-11.08,17,0.9981,20260309-192726
23,1,0.00,5,0.9978,20260309-192726
24,0,-10.91,19,0.9978,20260309-192726
25,1,-0.16,12,0.9978,20260309-192726
26,0,-10.91,13,0.9975,20260309-192726
27,0,-10.93,21,0.9975,20260309-192726
28,0,-11.36,21,0.9975,20260309-192726
29,1,-0.72,21,0.9975,20260309-192726
30,1,0.00,11,0.9973,20260309-192726
31,0,-11.47,22,0.9973,20260309-192726
32,0,-9.98,8,0.9973,20260309-192726
33,0,-11.12,25,0.9969,20260309-192726
34,0,-10.30,10,0.9969,20260309-192726
35,0,-11.61,25,0.9969,20260309-192726
36,0,-11.24,25,0.9969,20260309-192726
37,0,-10.87,18,0.9967,20260309-192726
38,1,0.04,10,0.9967,20260309-192726
39,0,-10.20,9,0.9967,20260309-192726
40,0,-10.14,9,0.9964,20260309-192726
41,0,-10.20,12,0.9964,20260309-192726
42,0,-10.18,10,0.9963,20260309-192726
43,1,-1.77,29,0.9963,20260309-192726
44,0,-10.57,18,0.9963,20260309-192726
45,0,-10.04,8,0.9963,20260309-192726
46,0,-11.97,30,0.9961,20260309-192726
47,0,-10.08,9,0.9961,20260309-192726
48,0,-10.53,14,0.9960,20260309-192726
49,0,-10.24,10,0.9960,20260309-192726
50,0,-10.28,14,0.9960,20260309-192726
51,0,-12.16,21,0.9957,20260309-192726
52,0,-10.26,15,0.9955,20260309-192726
53,0,-10.36,13,0.9954,20260309-192726
54,0,-13.03,28,0.9952,20260309-192726
55,1,0.10,10,0.9952,20260309-192726
56,0,-12.42,24,0.9951,20260309-192726
57,0,-10.79,16,0.9951,20260309-192726
58,0,-10.16,8,0.9951,20260309-192726
59,0,-13.16,38,0.9949,20260309-192726
60,0,-10.06,16,0.9949,20260309-192726
61,1,-0.76,28,0.9946,20260309-192726
62,0,-10.06,10,0.9946,20260309-192726
