episode,score,total_reward,steps,eps,timestamp
1,12,96.16,92,0.0100,20260309-011515
2,1,0.16,10,0.0100,20260309-011515
3,14,115.35,136,0.0100,20260309-011516
4,13,105.82,138,0.0100,20260309-011516
5,21,172.38,213,0.0100,20260309-011517
6,14,116.74,119,0.0100,20260309-011518
7,20,145.67,280,0.0100,20260309-011518
8,25,207.66,299,0.0100,20260309-011518
9,5,39.99,27,0.0100,20260309-011518
10,34,293.88,324,0.0100,20260309-011519
11,34,289.38,359,0.0100,20260309-011519
12,24,188.58,279,0.0100,20260309-011519
13,28,228.60,272,0.0100,20260309-011520
14,10,80.97,105,0.0100,20260309-011520
15,16,138.00,149,0.0100,20260309-011521
16,16,127.35,201,0.0100,20260309-011521
17,29,237.28,306,0.0100,20260309-011521
18,18,149.46,164,0.0100,20260309-011522
19,27,215.81,315,0.0100,20260309-011522
20,20,138.24,296,0.0100,20260309-011522
21,15,128.99,122,0.0100,20260309-011522
22,21,173.83,212,0.0100,20260309-011523
23,12,104.46,86,0.0100,20260309-011523
24,13,113.75,109,0.0100,20260309-011524
25,20,165.88,179,0.0100,20260309-011524
26,30,255.77,269,0.0100,20260309-011524
27,0,-9.96,6,0.0100,20260309-011525
28,25,212.39,240,0.0100,20260309-011525
29,19,159.06,168,0.0100,20260309-011525
30,28,233.58,316,0.0100,20260309-011526
31,17,139.03,149,0.0100,20260309-011527
32,17,139.28,170,0.0100,20260309-011527
33,28,227.52,291,0.0100,20260309-011527
34,20,170.41,151,0.0100,20260309-011528
35,31,261.57,287,0.0100,20260309-011528
36,22,174.07,224,0.0100,20260309-011529
37,24,209.11,180,0.0100,20260309-011530
38,20,167.19,196,0.0100,20260309-011530
39,14,112.87,142,0.0100,20260309-011530
40,22,185.47,228,0.0100,20260309-011531
41,30,234.79,411,0.0100,20260309-011532
42,15,125.16,122,0.0100,20260309-011532
43,36,308.34,372,0.0100,20260309-011532
44,18,143.41,217,0.0100,20260309-011532
45,24,196.35,263,0.0100,20260309-011533
46,8,66.44,64,0.0100,20260309-011533
47,16,141.74,111,0.0100,20260309-011534
48,24,199.82,259,0.0100,20260309-011535
49,28,240.36,273,0.0100,20260309-011535
50,16,121.85,205,0.0100,20260309-011535
51,23,196.36,201,0.0100,20260309-011536
52,23,177.25,239,0.0100,20260309-011536
53,26,202.93,357,0.0100,20260309-011537
54,13,108.76,111,0.0100,20260309-011538
55,22,184.17,206,0.0100,20260309-011538
56,17,140.40,161,0.0100,20260309-011538
57,20,158.91,231,0.0100,20260309-011539
58,29,225.60,362,0.0100,20260309-011539
59,25,211.29,248,0.0100,20260309-011540
60,11,89.96,110,0.0100,20260309-011540
61,23,191.88,240,0.0100,20260309-011541
62,28,229.46,273,0.0100,20260309-011541
63,21,173.13,240,0.0100,20260309-011542
64,12,99.02,91,0.0100,20260309-011542
65,21,168.32,216,0.0100,20260309-011542
66,11,90.04,93,0.0100,20260309-011543
67,31,249.04,315,0.0100,20260309-011543
68,24,199.59,206,0.0100,20260309-011543
69,22,174.96,241,0.0100,20260309-011544
70,24,189.62,304,0.0100,20260309-011544
71,15,127.03,120,0.0100,20260309-011544
72,14,118.97,111,0.0100,20260309-011544
73,14,117.54,119,0.0100,20260309-011545
74,27,227.29,230,0.0100,20260309-011545
75,11,91.55,87,0.0100,20260309-011546
76,21,179.10,180,0.0100,20260309-011546
