episode,score,total_reward,steps,eps,timestamp
1,0,-11.05,16,0.9960,20260308-203345
2,1,0.09,23,0.9925,20260308-203345
3,0,-11.82,23,0.9925,20260308-203345
4,1,-0.42,24,0.9920,20260308-203345
5,0,-13.30,31,0.9886,20260308-203345
6,0,-11.12,33,0.9876,20260308-203345
7,0,-12.92,33,0.9876,20260308-203345
8,1,-1.59,41,0.9836,20260308-203345
9,0,-14.33,43,0.9826,20260308-203345
10,0,-11.38,47,0.9807,20260308-203345
11,0,-14.89,48,0.9802,20260308-203345
12,0,-12.92,50,0.9792,20260308-203346
13,0,-12.52,23,0.9763,20260308-203346
14,0,-11.04,35,0.9753,20260308-203346
15,0,-11.34,15,0.9729,20260308-203346
16,0,-12.95,53,0.9700,20260308-203346
17,0,-13.66,46,0.9695,20260308-203346
18,1,-7.22,74,0.9675,20260308-203346
19,0,-16.43,51,0.9675,20260308-203346
20,0,-9.98,19,0.9661,20260308-203346
21,0,-9.81,12,0.9617,20260308-203346
22,1,-0.59,41,0.9593,20260308-203346
23,0,-11.63,51,0.9589,20260308-203346
24,0,-16.38,62,0.9584,20260308-203346
25,0,-17.79,70,0.9469,20260308-203346
26,0,-11.74,25,0.9469,20260308-203346
27,1,-3.61,76,0.9460,20260308-203346
28,0,-12.29,40,0.9394,20260308-203347
29,0,-25.15,135,0.9385,20260308-203347
30,0,-18.75,67,0.9356,20260308-203347
31,0,-15.22,72,0.9319,20260308-203347
32,0,-25.23,117,0.9314,20260308-203347
33,0,-18.39,70,0.9287,20260308-203347
34,0,-14.99,48,0.9245,20260308-203347
35,0,-25.00,121,0.9190,20260308-203347
36,0,-20.57,95,0.9148,20260308-203347
37,0,-14.12,50,0.9125,20260308-203347
38,0,-10.89,40,0.9103,20260308-203347
39,1,1.31,21,0.9094,20260308-203347
40,0,-10.80,41,0.9057,20260308-203348
41,0,-22.70,143,0.9057,20260308-203348
42,0,-14.36,75,0.9039,20260308-203348
43,1,-16.44,147,0.9012,20260308-203348
44,0,-15.59,70,0.8994,20260308-203348
45,0,-15.51,104,0.8981,20260308-203348
46,0,-25.72,154,0.8976,20260308-203348
47,0,-18.51,78,0.8963,20260308-203348
48,0,-34.93,236,0.8922,20260308-203348
49,0,-12.92,33,0.8909,20260308-203348
50,0,-13.53,43,0.8909,20260308-203348
51,1,-0.07,19,0.8896,20260308-203348
52,0,-14.26,61,0.8873,20260308-203348
53,1,-3.61,52,0.8825,20260308-203348
54,0,-15.25,67,0.8825,20260308-203348
55,0,-19.82,154,0.8768,20260308-203348
56,1,-1.86,48,0.8750,20260308-203348
57,0,-11.73,43,0.8732,20260308-203348
58,0,-12.64,44,0.8702,20260308-203348
59,1,-0.14,36,0.8667,20260308-203349
60,0,-13.09,56,0.8628,20260308-203349
61,1,-0.13,25,0.8624,20260308-203349
62,0,-10.99,48,0.8615,20260308-203349
63,1,-5.22,88,0.8590,20260308-203349
64,1,-0.77,29,0.8577,20260308-203349
65,0,-9.63,14,0.8530,20260308-203349
66,0,-11.02,33,0.8525,20260308-203349
67,0,-23.10,132,0.8513,20260308-203349
68,0,-19.92,92,0.8508,20260308-203349
