episode,score,total_reward,steps,eps,timestamp
1,3,22.97,37,0.0100,20260309-000302
2,17,176.02,266,0.0100,20260309-000306
3,21,213.91,361,0.0100,20260309-000307
4,24,248.40,375,0.0100,20260309-000307
5,29,302.83,397,0.0100,20260309-000308
6,23,240.09,415,0.0100,20260309-000308
7,4,33.82,63,0.0100,20260309-000308
8,31,332.68,494,0.0100,20260309-000309
9,35,368.45,501,0.0100,20260309-000309
10,31,328.43,509,0.0100,20260309-000309
11,8,77.86,113,0.0100,20260309-000310
12,32,339.30,523,0.0100,20260309-000310
13,36,378.84,572,0.0100,20260309-000310
14,35,372.99,577,0.0100,20260309-000310
15,37,398.80,598,0.0100,20260309-000311
16,44,469.14,611,0.0100,20260309-000311
17,15,155.13,213,0.0100,20260309-000311
18,34,362.36,685,0.0100,20260309-000312
19,45,484.50,715,0.0100,20260309-000312
20,25,260.00,346,0.0100,20260309-000315
21,41,439.89,632,0.0100,20260309-000317
22,37,389.28,530,0.0100,20260309-000317
23,44,471.33,802,0.0100,20260309-000318
24,33,355.77,537,0.0100,20260309-000318
25,6,57.75,102,0.0100,20260309-000319
26,26,274.14,503,0.0100,20260309-000319
27,61,657.66,1218,0.0100,20260309-000320
28,32,345.81,670,0.0100,20260309-000320
29,35,376.15,680,0.0100,20260309-000320
30,42,449.30,774,0.0100,20260309-000321
31,38,404.32,692,0.0100,20260309-000321
32,46,487.15,783,0.0100,20260309-000322
33,49,527.37,916,0.0100,20260309-000323
34,25,265.65,381,0.0100,20260309-000324
35,43,460.88,766,0.0100,20260309-000324
36,28,288.84,478,0.0100,20260309-000324
37,2,10.13,68,0.0100,20260309-000325
38,27,278.47,390,0.0100,20260309-000325
39,2,11.80,23,0.0100,20260309-000325
40,58,629.08,1183,0.0100,20260309-000325
41,60,643.55,991,0.0100,20260309-000326
42,29,314.00,520,0.0100,20260309-000328
43,49,529.61,866,0.0100,20260309-000328
44,26,271.99,408,0.0100,20260309-000329
45,30,321.31,568,0.0100,20260309-000329
46,16,164.54,253,0.0100,20260309-000329
47,26,272.88,359,0.0100,20260309-000329
48,29,312.94,566,0.0100,20260309-000329
49,27,283.53,405,0.0100,20260309-000330
50,46,494.05,652,0.0100,20260309-000330
51,24,250.87,368,0.0100,20260309-000331
52,21,217.23,329,0.0100,20260309-000333
53,16,161.78,268,0.0100,20260309-000333
54,15,148.28,273,0.0100,20260309-000333
55,31,338.11,561,0.0100,20260309-000333
56,21,217.29,353,0.0100,20260309-000334
57,9,79.07,149,0.0100,20260309-000335
58,39,415.88,843,0.0100,20260309-000335
59,36,391.69,618,0.0100,20260309-000335
60,58,624.80,1106,0.0100,20260309-000336
61,43,454.53,676,0.0100,20260309-000338
62,11,108.61,191,0.0100,20260309-000338
63,15,150.34,212,0.0100,20260309-000338
64,20,212.56,355,0.0100,20260309-000339
65,55,596.90,1275,0.0100,20260309-000340
66,66,711.99,1570,0.0100,20260309-000341
67,31,326.24,515,0.0100,20260309-000341
68,44,466.60,774,0.0100,20260309-000342
69,42,446.95,744,0.0100,20260309-000342
70,14,140.18,227,0.0100,20260309-000342
71,36,378.86,579,0.0100,20260309-000342
72,43,464.50,847,0.0100,20260309-000343
73,51,542.86,957,0.0100,20260309-000343
74,16,161.51,186,0.0100,20260309-000344
75,11,108.95,137,0.0100,20260309-000344
76,14,144.63,182,0.0100,20260309-000345
77,28,293.38,451,0.0100,20260309-000345
78,36,386.44,697,0.0100,20260309-000345
79,38,409.68,725,0.0100,20260309-000346
80,17,177.32,256,0.0100,20260309-000346
81,25,258.30,386,0.0100,20260309-000346
82,38,406.18,601,0.0100,20260309-000347
83,54,575.14,1224,0.0100,20260309-000347
84,24,241.28,484,0.0100,20260309-000351
85,31,330.99,529,0.0100,20260309-000351
86,35,373.05,580,0.0100,20260309-000351
87,22,225.26,418,0.0100,20260309-000351
88,30,313.62,522,0.0100,20260309-000352
89,3,23.54,50,0.0100,20260309-000352
90,9,87.34,136,0.0100,20260309-000354
91,59,630.09,1241,0.0100,20260309-000355
92,40,422.75,666,0.0100,20260309-000355
93,39,418.65,635,0.0100,20260309-000356
