episode,score,total_reward,steps,eps,timestamp
1,8,74.33,106,0.0100,20260308-230942
2,8,78.10,119,0.0100,20260308-230942
3,7,64.42,136,0.0100,20260308-230942
4,11,106.09,153,0.0100,20260308-230945
5,27,280.28,447,0.0100,20260308-230947
6,28,300.56,453,0.0100,20260308-230947
7,28,293.17,472,0.0100,20260308-230948
8,28,296.40,489,0.0100,20260308-230948
9,24,247.03,419,0.0100,20260308-230949
10,38,397.56,580,0.0100,20260308-230950
11,26,274.07,586,0.0100,20260308-230950
12,27,274.30,689,0.0100,20260308-230952
13,35,377.23,723,0.0100,20260308-230952
14,37,395.15,724,0.0100,20260308-230952
15,10,96.97,144,0.0100,20260308-230952
16,42,449.83,813,0.0100,20260308-230954
17,41,439.96,724,0.0100,20260308-230954
18,11,110.47,165,0.0100,20260308-230955
19,44,463.07,900,0.0100,20260308-230955
20,25,263.29,494,0.0100,20260308-230956
21,36,384.51,706,0.0100,20260308-230956
22,43,451.62,1035,0.0100,20260308-230957
23,28,287.53,552,0.0100,20260308-230957
24,44,480.52,1056,0.0100,20260308-230957
25,7,63.40,78,0.0100,20260308-230958
26,14,142.87,278,0.0100,20260308-230958
27,38,401.84,723,0.0100,20260308-231000
28,39,415.13,665,0.0100,20260308-231000
29,48,514.60,814,0.0100,20260308-231001
30,13,128.60,184,0.0100,20260308-231003
31,32,343.25,538,0.0100,20260308-231004
32,25,257.04,426,0.0100,20260308-231005
33,28,297.50,566,0.0100,20260308-231005
34,46,493.36,1025,0.0100,20260308-231006
35,28,296.44,528,0.0100,20260308-231007
36,43,458.69,739,0.0100,20260308-231007
37,43,457.11,904,0.0100,20260308-231007
38,39,408.73,798,0.0100,20260308-231007
39,4,34.13,62,0.0100,20260308-231008
40,1,1.40,22,0.0100,20260308-231008
41,45,478.89,776,0.0100,20260308-231010
42,34,350.12,633,0.0100,20260308-231010
43,41,438.81,661,0.0100,20260308-231012
44,33,346.38,582,0.0100,20260308-231013
45,60,659.23,1396,0.0100,20260308-231014
46,53,568.62,1108,0.0100,20260308-231015
47,42,452.50,791,0.0100,20260308-231017
48,46,504.23,921,0.0100,20260308-231020
