episode,score,total_reward,steps,eps,timestamp
1,0,-11.08,9,1.0000,20260308-154400
2,0,-11.58,19,1.0000,20260308-154400
3,0,-10.06,7,1.0000,20260308-154400
4,0,-9.98,19,1.0000,20260308-154400
5,0,-11.22,23,0.9930,20260308-154400
6,0,-10.19,10,0.9881,20260308-154400
7,0,-13.82,33,0.9719,20260308-154400
8,0,-15.96,57,0.9446,20260308-154401
9,0,-11.30,21,0.9347,20260308-154401
10,0,-10.19,10,0.9300,20260308-154401
11,0,-11.79,30,0.9162,20260308-154401
12,0,-10.23,14,0.9098,20260308-154401
13,0,-13.89,40,0.8918,20260308-154401
14,0,-9.73,4,0.8900,20260308-154401
15,0,-9.88,19,0.8816,20260308-154402
16,0,-12.28,19,0.8732,20260308-154402
17,0,-15.00,61,0.8470,20260308-154402
18,0,-18.43,124,0.7961,20260308-154403
19,0,-10.38,19,0.7886,20260308-154403
20,0,-11.53,24,0.7791,20260308-154403
21,0,-10.15,6,0.7768,20260308-154403
22,0,-15.46,57,0.7550,20260308-154403
23,0,-11.27,28,0.7445,20260308-154404
24,0,-16.79,60,0.7225,20260308-154404
25,0,-15.28,69,0.6980,20260308-154404
26,1,-0.08,10,0.6945,20260308-154404
27,1,0.12,30,0.6841,20260308-154405
28,0,-11.21,12,0.6800,20260308-154405
29,0,-9.75,6,0.6780,20260308-154405
30,0,-9.88,9,0.6750,20260308-154405
31,0,-9.68,9,0.6719,20260308-154405
32,0,-19.09,60,0.6521,20260308-154405
33,0,-9.79,10,0.6488,20260308-154405
34,0,-11.26,17,0.6433,20260308-154405
35,0,-14.04,45,0.6290,20260308-154406
36,0,-10.88,9,0.6262,20260308-154406
37,0,-9.48,9,0.6234,20260308-154406
38,0,-10.35,6,0.6215,20260308-154406
39,0,-17.12,133,0.5815,20260308-154407
40,0,-9.97,8,0.5792,20260308-154407
41,0,-9.28,9,0.5766,20260308-154407
42,0,-11.54,45,0.5638,20260308-154407
43,0,-10.89,20,0.5581,20260308-154407
44,0,-11.57,28,0.5504,20260308-154407
45,0,-9.72,13,0.5468,20260308-154408
46,0,-9.59,10,0.5441,20260308-154408
47,0,-10.48,9,0.5416,20260308-154408
48,0,-9.97,8,0.5395,20260308-154408
49,0,-13.53,54,0.5251,20260308-154408
50,0,-11.10,21,0.5196,20260308-154408
51,1,-2.34,36,0.5103,20260308-154408
52,0,-9.38,19,0.5055,20260308-154408
53,1,-7.49,81,0.4854,20260308-154409
54,0,-11.62,23,0.4799,20260308-154409
55,0,-11.96,27,0.4735,20260308-154409
56,0,-9.72,13,0.4704,20260308-154409
57,0,-10.19,10,0.4680,20260308-154409
58,0,-10.43,14,0.4648,20260308-154409
59,0,-12.25,36,0.4565,20260308-154410
60,0,-11.65,36,0.4483,20260308-154410
61,0,-9.55,16,0.4448,20260308-154410
